Date,Open,High,Low,Close
2-January-2006,9422.49,9457.09,9366.09,9390.14,
3-January-2006,9401.83,9546.78,9390.79,9539.37,
4-January-2006,9523.29,9664.94,9523.29,9648.08,
5-January-2006,9638.27,9679.72,9571.31,9617.74,
6-January-2006,9635.09,9680.92,9535.66,9640.29,
9-January-2006,9643.92,9689.68,9539.63,9583.45,
10-January-2006,9584.47,9600.08,9418.63,9445.30,
12-January-2006,9334.13,9435.26,9303.71,9380.88,
13-January-2006,9425.07,9471.89,9362.25,9374.19,
16-January-2006,9382.86,9397.62,9287.09,9311.19,
17-January-2006,9317.99,9421.52,9289.23,9314.13,
18-January-2006,9293.80,9302.78,9158.44,9237.53,
19-January-2006,9271.63,9473.86,9271.63,9449.84,
20-January-2006,9493.39,9556.19,9466.10,9520.96,
23-January-2006,9467.56,9503.40,9432.93,9464.90,
24-January-2006,9503.42,9574.14,9503.42,9549.92,
25-January-2006,9580.30,9714.48,9580.30,9685.74,
27-January-2006,9764.26,9883.95,9764.26,9870.79,
30-January-2006,9896.46,9945.19,9803.68,9849.03,
31-January-2006,9892.23,9939.55,9873.37,9919.89,
1-February-2006,9959.24,9993.92,9819.32,9859.26,
2-February-2006,9890.90,9956.10,9816.01,9843.87,
3-February-2006,9834.97,9837.74,9713.51,9742.58,
6-February-2006,9746.09,10002.83,9739.71,9980.42,
7-February-2006,9993.39,10099.58,9972.43,10082.28,
8-February-2006,10083.53,10083.53,9958.55,10044.82,
10-February-2006,10066.36,10122.25,10057.07,10110.97,
13-February-2006,10117.50,10182.77,10096.28,10173.25,
14-February-2006,10180.51,10185.06,10064.46,10086.63,
15-February-2006,10144.90,10191.97,10036.01,10113.18,
16-February-2006,10133.42,10195.42,10110.46,10124.30,
17-February-2006,10168.55,10184.04,9970.00,9981.11,
20-February-2006,10002.36,10092.85,9896.64,10079.30,
21-February-2006,10108.16,10195.51,10108.16,10168.11,
22-February-2006,10179.26,10237.61,10157.26,10224.32,
23-February-2006,10268.51,10304.88,10228.22,10244.05,
24-February-2006,10256.74,10271.67,10177.12,10200.76,
27-February-2006,10214.58,10296.22,10109.34,10282.09,
28-February-2006,10308.71,10422.65,10206.06,10370.24,
1-March-2006,10368.75,10573.29,10344.26,10565.47,
2-March-2006,10597.19,10706.22,10593.80,10626.78,
3-March-2006,10649.28,10690.00,10556.03,10595.43,
