Date,Open,High,Low,Close,Volume,Market Cap,,,
"Mar 20, 2018",556.72,567.09,521.2,557.18,"1,83,36,80,000","54,72,21,00,000",,,2.745995519
"Mar 19, 2018",546.63,558.1,519.12,556.73,"2,04,67,90,000","53,71,86,00,000",,,2.745644624
"Mar 18, 2018",551.64,551.64,460.09,538.64,"2,68,55,00,000","54,20,01,00,000",,,2.731298601
"Mar 17, 2018",601.68,609.15,549.1,552.78,"1,26,78,10,000","59,10,42,00,000",,,2.742552322
"Mar 16, 2018",611.78,623.17,587.86,601.67,"1,41,73,50,000","60,08,37,00,000",,,2.779358358
"Mar 15, 2018",614.84,620.62,579.51,611.3,"1,77,04,60,000","60,37,18,00,000",,,2.786254396
"Mar 14, 2018",691.22,702.78,594.1,614.29,"1,81,05,60,000","67,85,76,00,000",,,2.788373446
"Mar 13, 2018",698.15,713.74,682.35,690.83,"1,42,59,60,000","68,52,40,00,000",,,2.839371189
"Mar 12, 2018",724.41,742.51,683.27,699.83,"1,76,50,00,000","71,08,60,00,000",,,2.844992556
"Mar 11, 2018",685.31,735.83,668.12,723.34,"1,56,26,80,000","67,23,57,00,000",,,2.859342482
"Mar 10, 2018",730.16,748.03,682.7,686.89,"1,53,29,60,000","71,62,07,00,000",,,2.836887194
"Mar 09, 2018",702.2,729.16,648.11,728.92,"2,23,30,20,000","68,86,36,00,000",,,2.862679867
"Mar 08, 2018",752.57,773.77,696.17,704.6,"1,89,16,40,000","73,78,84,00,000",,,2.847942639
"Mar 07, 2018",816.27,825.61,726.55,752.83,"2,17,54,20,000","80,01,73,00,000",,,2.876696917
"Mar 06, 2018",853.82,853.82,809.93,816.95,"1,94,30,70,000","83,68,04,00,000",,,2.912195477
"Mar 05, 2018",866.85,869.92,853.52,853.68,"1,89,84,90,000","84,93,97,00,000",,,2.931295107
"Mar 04, 2018",856.19,867.95,840.28,866.68,"1,69,79,40,000","83,87,78,00,000",,,2.937858775
"Mar 03, 2018",856.71,868.45,855.21,857.23,"1,69,93,70,000","83,91,17,00,000",,,2.933097361
"Mar 02, 2018",871.76,876.38,852.42,856.85,"1,89,44,20,000","85,36,81,00,000",,,2.932904801
"Mar 01, 2018",856.01,880.3,851.92,872.2,"1,86,85,20,000","83,80,82,00,000",,,2.940616082
"Feb 28, 2018",877.93,890.11,855.12,855.2,"1,96,39,80,000","85,93,64,00,000",,,2.932067692
"Feb 27, 2018",870.37,896.26,867.1,878.27,"2,05,39,80,000","85,17,78,00,000",,,2.943628048
"Feb 26, 2018",845.28,880.39,842.32,869.32,"2,04,44,80,000","82,70,54,00,000",,,2.939179671
"Feb 25, 2018",839.46,853.15,822.38,844.81,"1,64,69,60,000","82,11,91,00,000",,,2.926759046
"Feb 24, 2018",861.59,879.53,818.55,840.52,"1,92,65,80,000","84,26,67,00,000",,,2.924548052
"Feb 23, 2018",811.59,886.32,794.79,864.19,"2,33,48,20,000","79,35,89,00,000",,,2.936609237
"Feb 22, 2018",849.26,875.93,802.67,812.85,"2,15,03,70,000","83,02,58,00,000",,,2.91001041
"Feb 21, 2018",894.14,912.38,830.56,849.97,"2,53,17,30,000","87,39,42,00,000",,,2.929403597
"Feb 20, 2018",943.57,965.27,892.95,895.37,"2,54,52,60,000","92,20,65,00,000",,,2.952002539
"Feb 19, 2018",921.67,957.78,921.55,943.87,"2,16,90,20,000","90,04,77,00,000",,,2.974912183
"Feb 18, 2018",973.35,982.93,915.45,923.92,"2,56,72,90,000","95,07,71,00,000",,,2.965634368
"Feb 17, 2018",944.75,976.6,940.75,974.12,"2,52,57,20,000","92,26,40,00,000",,,2.98861246
"Feb 16, 2018",934.79,950.01,917.85,944.21,"2,36,94,50,000","91,27,21,00,000",,,2.975068596
"Feb 15, 2018",923.73,951.95,911.11,936.98,"2,90,01,00,000","90,17,33,00,000",,,2.971730321
"Feb 14, 2018",844.28,926.43,844.28,923.56,"2,81,83,70,000","82,40,06,00,000",,,2.965465115
"Feb 13, 2018",869.29,870.71,828.84,845.26,"2,08,11,70,000","84,82,42,00,000",,,2.926990317
"Feb 12, 2018",817.51,875.94,817.51,868.71,"2,24,34,50,000","79,75,44,00,000",,,2.938874821
"Feb 11, 2018",859.29,859.29,788.22,814.66,"2,48,66,50,000","83,81,30,00,000",,,2.910976393
"Feb 10, 2018",882.47,917.4,825.58,860.42,"2,93,05,30,000","86,05,56,00,000",,,2.934710497
"Feb 09, 2018",818.48,884,788.83,883.87,"2,49,58,20,000","79,79,93,00,000",,,2.946388393
"Feb 08, 2018",755.84,845.09,755.84,817.81,"3,70,81,90,000","73,67,69,00,000",,,2.912652417
"Feb 07, 2018",790.43,851.2,723.43,757.07,"3,89,61,80,000","77,03,20,00,000",,,2.879136037
"Feb 06, 2018",707.74,796.44,574.42,793.12,"6,51,82,70,000","68,95,87,00,000",,,2.899338902
"Feb 05, 2018",834.96,856.65,644.6,697.95,"4,26,95,30,000","81,33,74,00,000",,,2.843824312
"Feb 04, 2018",964.67,969.03,805.06,834.68,"2,99,70,90,000","93,95,34,00,000",,,2.921520007
"Feb 03, 2018",919.21,991.94,847.69,964.02,"3,24,34,80,000","89,50,76,00,000",,,2.984086044
"Feb 02, 2018","1,035.77","1,035.77",757.98,915.79,"6,71,32,90,000","1,00,83,60,00,000",,,2.961795897
"Feb 01, 2018","1,119.37","1,161.35",984.82,"1,036.79","5,26,16,80,000","1,08,95,20,00,000",,,3.0156908
"Jan 31, 2018","1,071.09","1,128.66","1,034.50","1,118.31","3,75,75,60,000","1,04,23,10,00,000",,,3.048562208
"Jan 30, 2018","1,184.13","1,184.63","1,058.97","1,071.13","4,10,78,60,000","1,15,20,70,00,000",,,3.029842183
"Jan 29, 2018","1,246.70","1,256.70","1,169.08","1,182.36","3,71,50,80,000","1,21,26,90,00,000",,,3.072749729
"Jan 28, 2018","1,111.78","1,257.77","1,111.78","1,246.01","5,37,23,30,000","1,08,12,20,00,000",,,3.095521528
"Jan 27, 2018","1,055.75","1,121.98","1,042.12","1,107.07","3,00,28,70,000","1,02,65,10,00,000",,,3.044175082
"Jan 26, 2018","1,052.70","1,080.60",996.78,"1,055.17","3,61,76,90,000","1,02,33,40,00,000",,,3.023322435
"Jan 25, 2018","1,063.22","1,104.66","1,034.74","1,056.03","4,05,01,90,000","1,03,33,50,00,000",,,3.023676256
"Jan 24, 2018",987.48,"1,062.44",965.81,"1,058.78","3,94,40,40,000","95,95,27,00,000",,,3.024805729
"Jan 23, 2018","1,004.17","1,023.23",920.54,986.23,"3,55,67,00,000","97,55,43,00,000",,,2.993978209
