Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),,,
1-Feb-16,7589.5,7600.45,7541.25,7555.95,206645021,8209.5,,1,
2-Feb-16,7566.65,7576.3,7428.05,7455.55,237338907,8030.99,,2,
3-Feb-16,7392.45,7419.4,7350.3,7361.8,197863301,6748.17,,3,
4-Feb-16,7411.45,7457.05,7365.95,7404,229563364,7465.35,,4,
5-Feb-16,7418.25,7503.15,7406.65,7489.1,257518899,8628.24,,5,
8-Feb-16,7489.7,7512.55,7363.2,7387.25,176758985,5746.45,,6,
9-Feb-16,7303.95,7323.45,7275.15,7298.2,218730280,7415.13,,7,
10-Feb-16,7264.3,7271.85,7177.75,7215.7,254481339,8129.65,,8,
11-Feb-16,7203.6,7208.65,6959.95,6976.35,301302956,9250.27,,9,
12-Feb-16,7023.65,7034.8,6869,6980.95,344210729,11062.63,,10,
15-Feb-16,7057.35,7182.8,7056.8,7162.95,365217073,10204.34,,11,
16-Feb-16,7201.25,7204.65,7037.7,7048.25,261607451,7638.39,,12,
17-Feb-16,7058.85,7123.7,6960.65,7108.45,268017961,7686.32,,13,
18-Feb-16,7177.4,7215.1,7127.85,7191.75,254331498,8051.51,,14,
19-Feb-16,7170.55,7226.85,7145.95,7210.75,198206480,6156.58,,15,
22-Feb-16,7208.85,7252.4,7200.7,7234.55,159162842,5832.89,,16,
23-Feb-16,7240.3,7241.7,7090.7,7109.55,200396978,6433.16,,17,
24-Feb-16,7075,7090.8,7009.75,7018.7,205898417,6497.18,,18,
25-Feb-16,7029.85,7034.2,6961.4,6970.6,291932544,9090.16,,19,
26-Feb-16,7039.3,7052.9,6985.1,7029.75,213142575,6880.96,,20,
29-Feb-16,7050.45,7094.6,6825.8,6987.05,487969285,15992.15,,21,
1-Mar-16,7038.25,7235.5,7035.1,7222.3,283561570,9896.58,,22,
2-Mar-16,7321.7,7380.35,7308.15,7368.85,348965708,10983.06,,23,
3-Mar-16,7429.55,7483.95,7406.05,7475.6,287248532,9255.43,,24,
4-Mar-16,7505.4,7505.9,7444.1,7485.35,290441230,8135.06,,25,
8-Mar-16,7486.4,7527.15,7442.15,7485.3,264945393,8417.86,,26,
9-Mar-16,7436.1,7539,7424.3,7531.8,252709391,9036.29,,27,
10-Mar-16,7545.35,7547.1,7447.4,7486.15,231584305,8875.92,,28,
11-Mar-16,7484.85,7543.95,7460.6,7510.2,204806572,7558.55,,29,
14-Mar-16,7542.6,7583.7,7515.05,7538.75,172067214,6330.45,,30,
15-Mar-16,7535.85,7545.2,7452.8,7460.6,199653871,7577.78,,31,
16-Mar-16,7457.05,7508,7405.15,7498.75,201430035,7102.59,,32,
17-Mar-16,7557.4,7585.3,7479.4,7512.55,247043954,9539.89,,33,
