Date,Open,High,Low,Close
2-January-2017,26711.15,26720.98,26447.06,26595.45,
3-January-2017,26616.92,26724.40,26488.37,26643.24,
4-January-2017,26677.22,26723.37,26606.06,26633.13,
5-January-2017,26738.42,26917.21,26738.42,26878.24,
6-January-2017,26929.69,27009.61,26733.33,26759.23,
9-January-2017,26860.81,26860.88,26701.18,26726.55,
10-January-2017,26811.63,26914.95,26804.17,26899.56,
11-January-2017,26978.44,27174.87,26978.44,27140.41,
12-January-2017,27171.66,27278.93,27166.69,27247.16,
13-January-2017,27378.01,27459.75,27143.07,27238.06,
16-January-2017,27238.35,27335.08,27172.68,27288.17,
17-January-2017,27331.82,27381.43,27179.19,27235.66,
18-January-2017,27261.76,27422.67,27217.65,27257.64,
19-January-2017,27253.34,27348.19,27219.89,27308.60,
20-January-2017,27232.69,27264.41,27009.81,27034.50,
23-January-2017,26990.93,27167.79,26963.58,27117.34,
24-January-2017,27170.88,27393.35,27140.85,27375.58,
25-January-2017,27462.83,27736.83,27439.68,27708.14,
27-January-2017,27761.03,27980.39,27759.48,27882.46,
30-January-2017,27866.80,27947.37,27813.32,27849.56,
31-January-2017,27867.92,27867.92,27624.54,27655.96,
1-February-2017,27669.08,28159.54,27590.10,28141.64,
2-February-2017,28167.83,28299.92,28070.81,28226.61,
3-February-2017,28270.67,28280.58,28127.18,28240.52,
6-February-2017,28340.39,28487.28,28340.39,28439.28,
7-February-2017,28443.23,28483.41,28239.12,28335.16,
8-February-2017,28386.08,28391.64,28149.08,28289.92,
9-February-2017,28349.22,28469.48,28152.18,28329.70,
10-February-2017,28367.17,28456.18,28286.80,28334.25,
13-February-2017,28450.42,28458.80,28197.38,28351.62,
14-February-2017,28386.12,28393.42,28263.45,28339.31,
15-February-2017,28270.11,28382.32,28102.23,28155.56,
16-February-2017,28223.85,28327.84,28146.19,28301.27,
17-February-2017,28670.43,28726.26,28410.91,28468.75,
20-February-2017,28481.91,28696.53,28419.27,28661.58,
21-February-2017,28716.70,28801.00,28597.33,28761.59,
22-February-2017,28822.40,28963.52,28789.30,28864.71,
23-February-2017,28927.67,29065.31,28860.46,28892.97,
27-February-2017,28910.50,28961.83,28791.19,28812.88,
28-February-2017,28825.19,28876.54,28721.12,28743.32,
1-March-2017,28849.04,29029.17,28824.17,28984.49,
2-March-2017,29117.38,29145.62,28784.31,28839.79,
3-March-2017,28827.50,28860.13,28716.21,28832.45,
6-March-2017,28859.21,29070.20,28856.12,29048.19,
7-March-2017,29092.16,29098.17,28957.68,28999.56,
8-March-2017,29021.06,29022.32,28815.48,28901.94,
9-March-2017,28909.70,28986.72,28815.02,28929.13,
10-March-2017,29006.00,29076.63,28851.04,28946.23,
14-March-2017,29437.23,29561.93,29356.05,29442.63,
15-March-2017,29452.86,29500.08,29358.91,29398.11,
